dia_mes,hora,T
31_01,12:00,14.5
31_01,13:00,15.2
31_01,14:00,15.2
31_01,15:00,15.0
31_01,16:00,14.7
31_01,17:00,13.5
31_01,18:00,12.2
31_01,19:00,10.7
31_01,20:00,8.9
31_01,21:00,7.8
31_01,22:00,6.5
31_01,23:00,5.1
01_02,00:00,4.8
01_02,01:00,3.8
01_02,02:00,3.1
01_02,03:00,3.0
01_02,04:00,2.7
01_02,05:00,2.3
01_02,06:00,1.9
01_02,07:00,1.6
01_02,08:00,1.7
01_02,09:00,2.2
01_02,10:00,7.2
01_02,11:00,11.4
